from,to,brand,bucket
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/high_confidence/Kone/MONOSPACE KRM ESQUEMA KSA - KONE.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_final_v1/Kone/MONOSPACE KRM ESQUEMA KSA - KONE.pdf,Kone,high_confidence
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/high_confidence/Kone/Machine Room and Shaft Wiring Diagrams.jpg,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_final_v1/Kone/Machine Room and Shaft Wiring Diagrams.jpg,Kone,high_confidence
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/high_confidence/Kone/MonoSpace 2 5 Installation Instructions - Telephone Line Connection.jpg,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_final_v1/Kone/MonoSpace 2 5 Installation Instructions - Telephone Line Connection.jpg,Kone,high_confidence
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/high_confidence/Kone/MonoSpace Special Shaft Electrification Wiring Instructions.jpg,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_final_v1/Kone/MonoSpace Special Shaft Electrification Wiring Instructions.jpg,Kone,high_confidence
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/high_confidence/Kone/Residual Current Circuit - Breaker Safety Notice.jpg,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_final_v1/Kone/Residual Current Circuit - Breaker Safety Notice.jpg,Kone,high_confidence
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/high_confidence/Kone/Shaft Lighting Safety Notice.jpg,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_final_v1/Kone/Shaft Lighting Safety Notice.jpg,Kone,high_confidence
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/high_confidence/Kone/Stannah 260 Drawings.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_final_v1/Kone/Stannah 260 Drawings.pdf,Kone,high_confidence
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/high_confidence/Kone/Switch Light Safety Notice.jpg,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_final_v1/Kone/Switch Light Safety Notice.jpg,Kone,high_confidence
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/high_confidence/Kone/TMS 200 Green Hydraulic Drawings.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_final_v1/Kone/TMS 200 Green Hydraulic Drawings.pdf,Kone,high_confidence
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/high_confidence/Kone/TMS 200 Green TAC 5 Drawings.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_final_v1/Kone/TMS 200 Green TAC 5 Drawings.pdf,Kone,high_confidence
